epoch,datetime,talk,speaker,questions
1388314963,2013-12-29 12:02:43,190.03,M,MFMMFFF
1389021666,2014-01-06 07:21:06,106.02,M,FM
1389022457,2014-01-06 07:34:17,104.01,M,M
1389022477,2014-01-06 07:34:37,104.02,M,M
1389022498,2014-01-06 07:34:58,104.03,F,M
1389022509,2014-01-06 07:35:09,104.04,F,MFM
1389022885,2014-01-06 07:41:25,104.04,F,FMF
1389022978,2014-01-06 07:42:58,106.02,F,FMM
1389023107,2014-01-06 07:45:07,106.03,M,M
1389023418,2014-01-06 07:50:18,103.01,F,M
1389024021,2014-01-06 08:00:21,103.02,F,MMF
1389024725,2014-01-06 08:12:05,105.07,F,MF
1389034327,2014-01-06 10:52:07,123,M,MFMMMMF
1389034342,2014-01-06 10:52:22,119,F,MM
1389034358,2014-01-06 10:52:38,104.03,M,MFMM
1389034403,2014-01-06 10:53:23,104.04,M,FM
1389034419,2014-01-06 10:53:39,104.05,M,M
1389034438,2014-01-06 10:53:58,104.06,F,FMMMMM
1389036201,2014-01-06 11:23:21,126.02,M,M
1389036340,2014-01-06 11:25:40,131.01,M,MMF
1389036886,2014-01-06 11:34:46,126.03,F,MFMM
1389037433,2014-01-06 11:43:53,125,M,FMMM
1389037614,2014-01-06 11:46:54,130.03,M,MM
1389037978,2014-01-06 11:52:58,125,M,MMM
1389038107,2014-01-06 11:55:07,131.05,F,MM
1389038301,2014-01-06 11:58:21,130.04,M,M
1389038679,2014-01-06 12:04:39,125,M,FMMM
1389039244,2014-01-06 12:14:04,132.05,M,MMM
1389039351,2014-01-06 12:15:51,130.05,F,MM
1389039438,2014-01-06 12:17:18,131.07,M,M
1389040560,2014-01-06 12:36:00,132.01,M,FMM
1389040573,2014-01-06 12:36:13,132.02,M,MFMM
1389040588,2014-01-06 12:36:28,132.03,M,MM
1389040606,2014-01-06 12:36:46,132.04,M,MMM
1389040624,2014-01-06 12:37:04,132.05,M,MMMMM
1389044120,2014-01-06 13:35:20,133.01,F,MM
1389044145,2014-01-06 13:35:45,133.02,M,FM
1389044185,2014-01-06 13:36:25,133.03,M,MM
1389044211,2014-01-06 13:36:51,133.04,M,F
1389044232,2014-01-06 13:37:12,133.06,M,F
1389044251,2014-01-06 13:37:31,133.07,M,MM
1389047350,2014-01-06 14:29:10,137.06,M,MF
1389047375,2014-01-06 14:29:35,137.07,F,FMFMM
1389053761,2014-01-06 16:16:01,105.01,M,M
1389053775,2014-01-06 16:16:15,105.02,M,MMM
1389053794,2014-01-06 16:16:34,105.03,F,M
1389053813,2014-01-06 16:16:53,105.04,F,MFMFMMFM
1389053824,2014-01-06 16:17:04,105.05,M,MMM
1389053840,2014-01-06 16:17:20,105.06,M,FM
1389053853,2014-01-06 16:17:33,105.07,F,MMF
1389053879,2014-01-06 16:17:59,105.08,M,FMMMM
1389053902,2014-01-06 16:18:22,105.09,M,MMM
1389053921,2014-01-06 16:18:41,105.09,M,MM
1389053957,2014-01-06 16:19:17,131.01,M,MMF
1389053983,2014-01-06 16:19:43,131.03,F,MFMM
1389053997,2014-01-06 16:19:57,131.04,M,MMFM
1389054015,2014-01-06 16:20:15,131.05,F,MM
1389054033,2014-01-06 16:20:33,131.06,M,MMFM
1389054049,2014-01-06 16:20:49,131.07,M,MM
1389054064,2014-01-06 16:21:04,131.08,F,MFFM
1389070623,2014-01-06 20:57:03,131.08,F,MFFM
1389107589,2014-01-07 07:13:09,215.01,M,FMFM
1389108410,2014-01-07 07:26:50,215.02,M,MMM
1389108964,2014-01-07 07:36:04,207.01,F,MM
1389109215,2014-01-07 07:40:15,215.03,F,MFMMM
1389109606,2014-01-07 07:46:46,217.01,F,MM
1389109628,2014-01-07 07:47:08,217.03,F,MM
1389109645,2014-01-07 07:47:25,217.02,F,MMF
1389109658,2014-01-07 07:47:38,217.04,F,MMM
1389109688,2014-01-07 07:48:08,110.01,M,FMMFM
1389109717,2014-01-07 07:48:37,110.02,M,MFMFM
1389109724,2014-01-07 07:48:44,215.04,M,MMMF
1389109742,2014-01-07 07:49:02,110.03,M,FFMMM
1389109765,2014-01-07 07:49:25,110.04,M,MMF
1389109783,2014-01-07 07:49:43,209.02,F,MM
1389109784,2014-01-07 07:49:44,110.05,M,MFM
1389109788,2014-01-07 07:49:48,216.04,M,MMMM
1389109799,2014-01-07 07:49:59,110.06,M,FM
1389109821,2014-01-07 07:50:21,137.01,M,FFM
1389109841,2014-01-07 07:50:41,137.02,M,MFM
1389109864,2014-01-07 07:51:04,128.03,M,M
1389109879,2014-01-07 07:51:19,142.01,M,MM
1389110038,2014-01-07 07:53:58,137.03,F,MFM
1389110061,2014-01-07 07:54:21,137.04,M,MF
1389110075,2014-01-07 07:54:35,137.05,M,MM
1389110098,2014-01-07 07:54:58,137.06,M,MF
1389110099,2014-01-07 07:54:59,209.03,M,M
1389110119,2014-01-07 07:55:19,137.07,F,FMFM
1389110164,2014-01-07 07:56:04,217.05,M,FMFM
1389110342,2014-01-07 07:59:02,206.04,F,M
1389110402,2014-01-07 08:00:02,215.05,M,M
1389110407,2014-01-07 08:00:07,216.05,M,MMFMM
1389110933,2014-01-07 08:08:53,215.06,F,MMMM
1389111159,2014-01-07 08:12:39,209.04,M,MM
1389111532,2014-01-07 08:18:52,205.06,M,FM
1389111618,2014-01-07 08:20:18,209.05,F,MM
1389111793,2014-01-07 08:23:13,215.07,F,MMMFMFMMM
1389112030,2014-01-07 08:27:10,209.06,M,MM
1389112340,2014-01-07 08:32:20,205.07,,MFM
1389112570,2014-01-07 08:36:10,209.07,M,MM
1389121838,2014-01-07 11:10:38,207.05,F,MMM
1389122149,2014-01-07 11:15:49,235.01,F,MMMM
1389122331,2014-01-07 11:18:51,235.01,F,MMM
1389122373,2014-01-07 11:19:33,229.01,M,MMMMMM
1389122415,2014-01-07 11:20:15,225.02,M,MM
1389122430,2014-01-07 11:20:30,236.02,M,FM
1389122630,2014-01-07 11:23:50,224.02,F,FM
1389122662,2014-01-07 11:24:22,230.01,F,FFMM
1389122690,2014-01-07 11:24:50,224.03,M,
1389122709,2014-01-07 11:25:09,235.02,M,MM
1389122715,2014-01-07 11:25:15,224.01,F,
1389122717,2014-01-07 11:25:17,224.03,M,F
1389122906,2014-01-07 11:28:26,225.03,M,M
1389122915,2014-01-07 11:28:35,225.03,M,M
1389122932,2014-01-07 11:28:52,225.03,M,M
1389123001,2014-01-07 11:30:01,239.02,M,MMMMM
1389123058,2014-01-07 11:30:58,228.03,M,M
1389123128,2014-01-07 11:32:08,228.02,M,M
1389123268,2014-01-07 11:34:28,224.04,M,F
1389123348,2014-01-07 11:35:48, 225.04,M,
1389123585,2014-01-07 11:39:45,224.04,M,
1389123654,2014-01-07 11:40:54,229.03,M,MMM
1389123913,2014-01-07 11:45:13, 225.05,M,FM
1389123928,2014-01-07 11:45:28,228.03,M,F
1389124015,2014-01-07 11:46:55,224.05,F,MMFF
1389124019,2014-01-07 11:46:59,224.05,F,MMFFFF
1389124280,2014-01-07 11:51:20,229.04,M,MMM
1389124292,2014-01-07 11:51:32,229.04,M,MM
1389124646,2014-01-07 11:57:26,228.04,M,FMMM
1389124750,2014-01-07 11:59:10,224.06,F,F
1389124751,2014-01-07 11:59:11,224.06,F,F
1389125255,2014-01-07 12:07:35,229.05,M,MM
1389125314,2014-01-07 12:08:34,224.07,F,FMM
1389125316,2014-01-07 12:08:36,224.07,F,FFMM
1389125501,2014-01-07 12:11:41,228.05,M,MFMFMFMM
1389125660,2014-01-07 12:14:20,229.05,M,MM
1389125860,2014-01-07 12:17:40,224.08,M,F
1389125874,2014-01-07 12:17:54,224.08,M,FF
1389126313,2014-01-07 12:25:13,224.09,F,
1389126317,2014-01-07 12:25:17,224.09,F,F
1389126707,2014-01-07 12:31:47, 225.06,M,FMFFFMMMMM
1389193818,2014-01-08 07:10:18,315.01,M,MM
1389194333,2014-01-08 07:18:53,316.01,M,MMM
1389194368,2014-01-08 07:19:28,316.01,M,MMM
1389194919,2014-01-08 07:28:39,315.02,F,FMM
1389194977,2014-01-08 07:29:37,316.02,M,MMM
1389194981,2014-01-08 07:29:41,316.02,M,MMM
1389195476,2014-01-08 07:37:56,237.02,F,MMFFM
1389195504,2014-01-08 07:38:24,237.03,M,MMF
1389195518,2014-01-08 07:38:38,237.04,F,MM
1389195533,2014-01-08 07:38:53,237.06,M,
1389195567,2014-01-08 07:39:27,316.04,M,M
1389195571,2014-01-08 07:39:31,316.03,M,M
1389195617,2014-01-08 07:40:17,213.02,M,M
1389195631,2014-01-08 07:40:31,213.03,F,MFM
1389195946,2014-01-08 07:45:46,316.04,M,M
1389195946,2014-01-08 07:45:46,316.04,M,M
1389195951,2014-01-08 07:45:51,316.04,M,M
1389196051,2014-01-08 07:47:31,315.04,F,MMM
1389196640,2014-01-08 07:57:20,316.05,M,MM
1389197354,2014-01-08 08:09:14,316.06,M,MMM
1389197453,2014-01-08 08:10:53,315.06,M,MM
1389197941,2014-01-08 08:19:01,315.07,M,MM
1389198216,2014-01-08 08:23:36,308.01,M,MM
1389198228,2014-01-08 08:23:48,308.02,M,MMMM
1389198239,2014-01-08 08:23:59,308.03,M,MM
1389198264,2014-01-08 08:24:24,308.04,M,MMFM
1389198281,2014-01-08 08:24:41,308.05,M,MMM
1389198314,2014-01-08 08:25:14,316.07,M,MFMMM
1389198362,2014-01-08 08:26:02,308.06,M,MMM
1389198427,2014-01-08 08:27:07,308.06,F,MMMM
1389198442,2014-01-08 08:27:22,308.06,F,MMMM
1389198584,2014-01-08 08:29:44,315.08,F,MMM
1389198585,2014-01-08 08:29:45,315.08,F,MMM
1389201770,2014-01-08 09:22:50,207.01,F,MM
1389201788,2014-01-08 09:23:08,207.02,M,F
1389201801,2014-01-08 09:23:21,207.03,F,M
1389201814,2014-01-08 09:23:34,207.04,M,F
1389201829,2014-01-08 09:23:49,207.05,F,MMMM
1389201855,2014-01-08 09:24:15,207.06,M,MM
1389201893,2014-01-08 09:24:53,222,M,MFMF
1389201912,2014-01-08 09:25:12,230.01,F,FFMMM
1389201955,2014-01-08 09:25:55,230.01,F,FFMMM
1389207590,2014-01-08 10:59:50,217.06,M,FMMM
1389207611,2014-01-08 11:00:11,217.07,M,MM
1389207624,2014-01-08 11:00:24,217.08,F,FM
1389207677,2014-01-08 11:01:17,237.01,M,MFM
1389207707,2014-01-08 11:01:47,237.02,F,FMMM
1389207724,2014-01-08 11:02:04,237.03,M,MMF
1389207762,2014-01-08 11:02:42,237.04,F,MMFMM
1389207796,2014-01-08 11:03:16,237.06,M,
1389208009,2014-01-08 11:06:49,304.01,F,MM
1389208031,2014-01-08 11:07:11,304.02,M,FMM
1389208065,2014-01-08 11:07:45,304.03,F,MMMFFFMMFM
1389208081,2014-01-08 11:08:01,304.04,F,FMF
1389208137,2014-01-08 11:08:57,334.01,M,MF
1389208237,2014-01-08 11:10:37,334.01,M,MF
1389208601,2014-01-08 11:16:41,334.02,F,M
1389208608,2014-01-08 11:16:48,334.02,F,M
1389209038,2014-01-08 11:23:58,334.03,M,MM
1389209044,2014-01-08 11:24:04,334.03,M,MM
1389209244,2014-01-08 11:27:24,335.01,M,MM
1389209487,2014-01-08 11:31:27,334.04,M,M
1389209489,2014-01-08 11:31:29,334.04,M,M
1389209573,2014-01-08 11:32:53,335.02,M,MMM
1389210036,2014-01-08 11:40:36,324.02,M,MMM
1389210084,2014-01-08 11:41:24,324.03,F,MM
1389210319,2014-01-08 11:45:19,335.03,M,MM
1389210617,2014-01-08 11:50:17,324.04,F,M
1389210658,2014-01-08 11:50:58,334.05,M,MMFFFF
1389210662,2014-01-08 11:51:02,334.05,M,MFMFFF
1389211104,2014-01-08 11:58:24,324.05,F,MMM
1389211135,2014-01-08 11:58:55,335.04,M,MMMM
1389211246,2014-01-08 12:00:46,334.06,M,MF
1389211251,2014-01-08 12:00:51,334.06,M,MF
1389211638,2014-01-08 12:07:18,324.06,F,M
1389211901,2014-01-08 12:11:41,335.06,M,MMMM
1389212958,2014-01-08 12:29:18,324.07,M,MM
1389214263,2014-01-08 12:51:03,230.04,F,FFMMFF
1389214279,2014-01-08 12:51:19,230.05,F,FMM
1389214291,2014-01-08 12:51:31,230.06,F,MM
1389214331,2014-01-08 12:52:11,230.07,M,M
1389214353,2014-01-08 12:52:33,230.08,F,MM
1389214381,2014-01-08 12:53:01,315.06,M,MM
1389214394,2014-01-08 12:53:14,315.07,M,MM
1389214416,2014-01-08 12:53:36,315.08,F,MMM
1389214575,2014-01-08 12:56:15,337.01,M,FMM
1389214603,2014-01-08 12:56:43,337.02,M,F
1389214642,2014-01-08 12:57:22,337.03,F,MFMFFMMM
1389227306,2014-01-08 16:28:26,322.02,F,MFM
1389227320,2014-01-08 16:28:40,322.03,M,FMM
1389227332,2014-01-08 16:28:52,322.04,F,MM
1389227344,2014-01-08 16:29:04,322.05,F,MMF
1389227364,2014-01-08 16:29:24,322.07,M,MMM
