col1,col2,col3,col4,col5,Category
2015-01-05,102.01,F,M,M,1
2015-01-05,102.02,F,M,M,1
2015-01-05,102.03,M,M,MM,1
2015-01-05,102.05,F,M,MM,1
2015-01-05,102.06,M,M,MMM,1
2015-01-05,102.07,F,M,FM,1
2015-01-05,105.01,M,M,MMFF,4
2015-01-05,105.02,M,M,M,4
2015-01-05,105.03,F,M,--,4
2015-01-05,105.04,M,M,MMM,4
2015-01-05,105.05,M,M,M,4
2015-01-05,105.06,M,M,MM,4
2015-01-05,105.07,M,M,F,4
2015-01-05,105.08,F,M,FM,4
2015-01-05,107.04,M,F,MMFM,4
2015-01-05,107.05,M,F,MM,4
2015-01-05,107.06,M,F,MM,4
2015-01-05,111.01,F,F,FM,1
2015-01-05,111.02,F,F,MM,1
2015-01-05,111.03,M,F,MFMFM,1
2015-01-05,111.04,M,F,FMFM,1
2015-01-05,111.05,M,F,MFFMF,1
2015-01-05,111.06,M,F,MMFM,1
2015-01-05,112.01,M,M,MMM,5
2015-01-05,112.02,F,M,MMMMMM,5
2015-01-05,112.03,M,M,MMMMMMM,5
2015-01-05,112.04,F,M,MMMMF,5
2015-01-05,112.05,M,M,MMMMM,5
2015-01-05,112.06,M,M,FMMM,5
2015-01-05,112.07,M,M,MM,5
2015-01-05,113.04,M,M,MMMMM,6
2015-01-05,113.05,M,M,MMM,6
2015-01-05,113.06,M,M,MM,6
2015-01-05,113.07,M,M,MM,6
2015-01-05,113.08,M,M,MM,6
2015-01-05,119.01,F,M,MMM,1
2015-01-05,119.02,F,M,FMM,1
2015-01-05,119.03,F,M,FFM,1
2015-01-05,119.04,M,M,MM,1
2015-01-05,119.05,M,M,M,1
2015-01-05,119.07,F,M,MMM,1
2015-01-05,120.03,F,M,M,3
2015-01-05,121.04,F,M,--,3
2015-01-05,121.05,M,M,MMM,3
2015-01-05,121.07,M,M,MM,3
2015-01-05,122.01,F,M,FMM,4
2015-01-05,122.02,M,M,FM,4
2015-01-05,122.03,M,M,MM,4
2015-01-05,122.04,M,M,FM,4
2015-01-05,122.05,M,M,MM,4
2015-01-05,122.06,M,M,MFM,4
2015-01-05,122.07,M,M,MM,4
2015-01-05,124.01,M,F,MF,4
2015-01-05,124.02,F,F,MFFF,4
2015-01-05,124.03,M,F,MMMMM,4
2015-01-05,124.06,F,F,MF,4
2015-01-05,124.07,M,F,MMFM,4
2015-01-05,126.01,F,M,M,7
2015-01-05,126.03,M,M,M,7
2015-01-05,126.04,M,M,M,7
2015-01-05,126.05,M,M,F,7
2015-01-05,126.07,F,M,--,7
2015-01-05,126.08,M,M,M,7
2015-01-08,129.01,F,M,MMM,1
2015-01-08,129.02,F,M,MMMM,1
2015-01-08,129.03,F,M,FMM,1
2015-01-05,129.04,M,M,MM,1
2015-01-05,129.05,F,M,FMM,1
2015-01-05,130.01,M,M,MMM,5
2015-01-05,130.02,F,M,FF,5
2015-01-05,130.03,M,M,M,5
2015-01-05,130.04,F,M,MMMM,5
2015-01-05,130.05,F,M,FMMM,5
2015-01-05,130.06,F,M,MFMM,5
2015-01-05,130.07,M,M,FFM,5
2015-01-05,131.03,F,F,MMMM,1
2015-01-05,131.04,F,F,FFF,1
2015-01-05,131.05,F,F,MMF,1
2015-01-05,131.06,F,F,FM,1
2015-01-05,132.03,F,M,MM,7
2015-01-05,132.04,F,M,MMFM,7
2015-01-07,133.07,M,F,--,5
2015-01-05,134.01,M,F,MMMMM,4
2015-01-05,135.01,F,M,MMMFM,3
2015-01-06,202.02,M,M,MMM,4
2015-01-06,202.03,M,M,MMM,4
2015-01-06,202.04,M,M,MMM,4
2015-01-06,202.05,M,M,MMMF,4
2015-01-06,202.06,M,M,MM,4
2015-01-06,202.08,M,M,--,4
2015-01-06,205.04,F,M,FMMMM,3
2015-01-06,205.06,M,M,MMMF,3
2015-01-06,205.07,F,M,FMM,3
2015-01-06,207.01,F,M,MFM,4
2015-01-06,207.02,M,M,FMFM,4
2015-01-06,207.03,F,M,FMMM,4
2015-01-06,207.04,M,M,FM,4
2015-01-06,207.05,M,M,FM,4
2015-01-06,207.06,M,M,MFF,4
2015-01-06,207.07,F,M,FFM,4
2015-01-06,210.02,F,M,MFMM,1
2015-01-08,212.01,M,F,FMF,1
2015-01-08,212.02,F,F,MMMF,1
2015-01-08,212.03,F,F,MFMM,1
2015-01-08,212.04,F,F,F,1
2015-01-08,212.06,F,F,F,1
2015-01-08,212.07,F,F,M,1
2015-01-06,216.01,F,M,MMMM,1
2015-01-06,216.02,M,M,MMMM,1
2015-01-06,216.04,M,M,FM,1
2015-01-06,217.01,F,F,MF,2
2015-01-06,227.04,M,F,MMMMMFFM,1
2015-01-06,227.05,M,F,MM,1
2015-01-06,227.06,M,F,FM,1
2015-01-06,227.08,F,F,MFMMF,1
2015-01-06,229.02,M,F,FM,5
2015-01-06,229.03,M,F,FM,5
2015-01-06,229.04,M,F,FM,5
2015-01-06,229.05,F,F,FM,5
2015-01-06,229.06,M,F,MM,5
2015-01-06,229.07,M,F,FMFMM,5
2015-01-06,229.08,M,F,M,5
2015-01-08,231.01,F,M,F,1
2015-01-08,231.02,F,M,MM,1
2015-01-08,231.03,M,M,MMM,1
2015-01-08,231.04,F,M,FM,1
2015-01-06,231.05,M,M,MFM,1
2015-01-06,231.06,F,M,MM,1
2015-01-06,231.07,M,M,MM,1
2015-01-07,300.01,F,F,MMM,4
2015-01-07,302.01,M,M,M,6
2015-01-07,302.02,F,M,M,6
2015-01-07,302.03,M,M,M,6
2015-01-07,302.04,M,M,F,6
2015-01-07,302.05,M,M,M,6
2015-01-07,302.06,M,M,MMM,6
2015-01-07,302.07,F,M,MFMMMM,6
2015-01-07,303.04,M,M,M,3
2015-01-07,303.06,F,M,MMM,3
2015-01-07,303.07,M,M,MMM,3
2015-01-07,303.08,F,M,FMM,3
2015-01-07,303.09,M,M,MMM,3
2015-01-07,304.02,F,M,FMM,2
2015-01-07,304.03,F,M,MMM,2
2015-01-07,304.04,M,M,FMM,2
2015-01-07,306.01,M,F,MMFMM,4
2015-01-07,306.02,F,F,MMMMMM,4
2015-01-07,306.03,M,F,MMM,4
2015-01-07,306.05,M,F,MMF,4
2015-01-07,306.06,M,F,FFM,4
2015-01-07,306.07,M,F,MMMM,4
2015-01-07,310.02,M,M,MM,5
2015-01-07,310.05,U,M,FFM,5
2015-01-07,310.06,M,M,FFM,5
2015-01-07,310.07,M,M,M,5
2015-01-07,310.09,M,M,M,5
2015-01-07,319.01,M,M,MMMMM,6
2015-01-07,319.02,M,M,MMF,6
2015-01-07,319.03,F,M,MMM,6
2015-01-07,319.04,F,M,MM,6
2015-01-07,319.05,M,M,FM,6
2015-01-07,319.06,F,M,M,6
2015-01-07,319.07,F,M,MM,6
2015-01-07,329.01,M,M,M,1
2015-01-07,329.02,M,M,MFF,1
2015-01-07,329.03,M,M,MMMMMMM,1
2015-01-07,329.04,F,M,MMM,1
2015-01-07,329.05,M,M,MM,1
2015-01-07,329.06,M,M,MFF,1
2015-01-07,329.07,M,M,MFMFMMM,1
2015-01-08,330.04,F,M,MMM,5
2015-01-08,330.05,M,M,M,5
2015-01-08,330.06,F,M,MFMMM,5
2015-01-08,401.01,M,M,MM,2
2015-01-08,404.04,M,M,--,2
2015-01-08,408.01,M,M,MM,4
2015-01-08,408.02,M,M,M,4
2015-01-08,408.03,M,M,M,4
2015-01-08,408.09,F,M,M,4
2015-01-08,408.1,M,M,MM,4
2015-01-08,418.03,M,M,M,2
2015-01-08,420.01,M,F,FFMM,4
2015-01-08,422.01,M,M,M,6
2015-01-08,422.02,M,M,MMM,6
2015-01-08,422.05,M,M,MMM,6
2015-01-08,422.06,M,M,M,6
2015-01-08,422.07,M,M,MM,6
2015-01-08,422.08,M,M,MMF,6
2015-01-08,425.02,M,M,MMF,1
2015-01-08,427.03,F,M,MMFMM,1
2015-01-08,427.04,M,M,MM,1
2015-01-08,427.05,M,M,MMMMM,1
2015-01-08,428.01,M,M,FMM,5
