epoch,datetime,talk,speaker,chair,questions,comments
1452003743,2016-01-05 06:22:23,Alan Stern,F,M,4? questions all male, ;
1452003758,2016-01-05 06:22:38,101,F,M,MMMM, ;
1452003758,2016-01-05 06:22:38,101,F,M,MMMM, ;
1452006639,2016-01-05 07:10:39,Chelsea E Sharon,F,F,FFFMF, ;
1452006641,2016-01-05 07:10:41,Chelsea E Sharon,F,F,FFFMF, ;
1452006958,2016-01-05 07:15:58,110.01,M,M,MMM, ;
1452007351,2016-01-05 07:22:31,110.02,M,F,MMM, ;
1452007688,2016-01-05 07:28:08,103.03D,M,M,MMMMM, ;
1452007753,2016-01-05 07:29:13,Heath V Shipley,F,M,MFF, ;
1452008163,2016-01-05 07:36:03,Alexandra Pope,F,F,MFF, ;
1452008359,2016-01-05 07:39:19,110.03D,M,M,MM, ;
1452008368,2016-01-05 07:39:28,103.01,M,M,FMMM, ;
1452008388,2016-01-05 07:39:48,103.03D,M,M,MMMM, ;
1452008473,2016-01-05 07:41:13,103.04,M,M,MM, ;
1452008482,2016-01-05 07:41:22,103.04,M,M,MM, ;
1452008537,2016-01-05 07:42:17,112.03,M,M,MMM, ;
1452008684,2016-01-05 07:44:44,Anna Sajina,F,F,MM, ;
1452008721,2016-01-05 07:45:21,Anna Sajina,F,F,MM, ;
1452009028,2016-01-05 07:50:28,110.04,M,M,MMMM, ;
1452009250,2016-01-05 07:54:10,112.03,M,M,MMM, ;
1452009564,2016-01-05 07:59:24,112.04D,M,M,FMMMM, ;
1452009595,2016-01-05 07:59:55,112.04d,M,M,FMM, ;
1452009656,2016-01-05 08:00:56,103.05D,M,F,MFM,Projector died twice during the talk.  ;
1452009663,2016-01-05 08:01:03,103.05D,M,F,MFM, ;
1452009771,2016-01-05 08:02:51,110.05,M,M,MMM, ;
1452009800,2016-01-05 08:03:20,103.05D,M,F,MFM,First question by a woman in the session and only female speaker in the session.  ;
1452009937,2016-01-05 08:05:37,Garrett Keating,F,M,FMMM, ;
1452010275,2016-01-05 08:11:15,103.01,M,M,MM, ;
1452010284,2016-01-05 08:11:24,103.02,M,M,MM, ;
1452010310,2016-01-05 08:11:50,103.03,M,M,MF, ;
1452010317,2016-01-05 08:11:57,103.04,M,M,MM, ;
1452010333,2016-01-05 08:12:13,103.05,M,F,MM, ;
1452010336,2016-01-05 08:12:16,103.06,M,M,MMM, ;
1452010337,2016-01-05 08:12:17,103.06,M,M,MMM, ;
1452010344,2016-01-05 08:12:24,103.06,M,M,MM, ;
1452010367,2016-01-05 08:12:47,Tommy Wiklind,F,M,F, ;
1452010909,2016-01-05 08:21:49,110.06,M,F,FFMM, ;
1452011127,2016-01-05 08:25:27,112.05d,M,F,MMFFMMM, ;
1452011140,2016-01-05 08:25:40,112.05D,M,F,MMFFMMMMM, ;
1452011264,2016-01-05 08:27:44,103.07,M,M,MMFM, ;
1452011266,2016-01-05 08:27:46,103.07,M,M,MMFM,It was a female mic-runner volunteer. ;
1452011270,2016-01-05 08:27:50,103.07,M,M,MMF, ;
1452012076,2016-01-05 08:41:16,111.06,M,M,MMF, ;
1452012599,2016-01-05 08:49:59,110.07,M,M,MMFM, ;
1452014723,2016-01-05 09:25:23,115.01,F,F,MMMM, ;
1452014764,2016-01-05 09:26:04,115,F,F,MMM, ;
1452019836,2016-01-05 10:50:36,116 Harassment in Astro,F,F,FFMMMFFF, ;
1452020250,2016-01-05 10:57:30,116,F,,FFMMMFFFFMF,There are more - had to leave early ;
1452020901,2016-01-05 11:08:21,124.01,F,F,FFM, ;
1452020990,2016-01-05 11:09:50,121.01,F,F,MMM, ;
1452021017,2016-01-05 11:10:17,120.01,M,M,FMMF, ;
1452021113,2016-01-05 11:11:53,121.01,F,F,MMM, ;
1452021134,2016-01-05 11:12:14,126.01,F,M,MM, ;
1452021257,2016-01-05 11:14:17,122.01,M,M,,went horribly overtime ;
1452021481,2016-01-05 11:18:01,120.01,M,M,MFF, ;
1452021550,2016-01-05 11:19:10,121.02,F,M,MFM, ;
1452021560,2016-01-05 11:19:20,121.02,F,M,MFM, ;
1452022073,2016-01-05 11:27:53,124.02,F,F,MF, ;
1452022188,2016-01-05 11:29:48,120.02D,M,M,MM, ;
1452022197,2016-01-05 11:29:57,120.02,M,M,MM, ;
1452022263,2016-01-05 11:31:03,121.03,F,F,FMFMF, ;
1452022264,2016-01-05 11:31:04,121.03,F,F,FMFMF, ;
1452022312,2016-01-05 11:31:52,124.01,F,F,FFM, ;
1452022341,2016-01-05 11:32:21,122.02,M,F,MM, ;
1452022436,2016-01-05 11:33:56,122.03,M,F,MFFM, ;
1452022672,2016-01-05 11:37:52,124.03,F,M,FF, ;
1452022703,2016-01-05 11:38:23,121.04,F,M,MF, ;
1452022785,2016-01-05 11:39:45,118.03,M,M,MMMF, ;
1452022805,2016-01-05 11:40:05,120.03,M,M,FM,Female volunteer mic runner in this session  ;
1452022975,2016-01-05 11:42:55,122.04,M,M,MMM, ;
1452023223,2016-01-05 11:47:03,120.03,M,M,MM, ;
1452023324,2016-01-05 11:48:44,124.04,F,M,FMM, ;
1452023334,2016-01-05 11:48:54,118.04,M,M,MFMM, ;
1452023411,2016-01-05 11:50:11,120.04,M,M,MMM, ;
1452023518,2016-01-05 11:51:58,120.04,M,M,MMM, ;
1452023709,2016-01-05 11:55:09,122.05,M,M,MM, ;
1452023743,2016-01-05 11:55:43,121.05,F,F,FMF, ;
1452023837,2016-01-05 11:57:17,121.06,F,M,MFM, ;
1452023954,2016-01-05 11:59:14,120.05,M,M,MM, ;
1452024053,2016-01-05 12:00:53,120.05,M,M,MMM, ;
1452024127,2016-01-05 12:02:07,122.06,M,M,MMMF, ;
1452024500,2016-01-05 12:08:20,124.05,F,F,MFFF, ;
1452024585,2016-01-05 12:09:45,121.07,F,M,MMF, ;
1452024729,2016-01-05 12:12:09,122.07,M,F,FMMF, ;
1452024740,2016-01-05 12:12:20,122.07,M,F,FMMF, ;
1452025193,2016-01-05 12:19:53,120.07,M,F,MMM, ;
1452025225,2016-01-05 12:20:25,120.07D,M,F,MMM, ;
1452025430,2016-01-05 12:23:50,122.08,M,M,MMF,last questioner was a comment to the previous question ;
1452025754,2016-01-05 12:29:14,124.06,F,M,MFM, ;
1452025875,2016-01-05 12:31:15,121.08D,F,M,MMMM, ;
1452026110,2016-01-05 12:35:10,122.09,M,M,MMM, ;
1452029256,2016-01-05 13:27:36,125.04D,M,F,M, ;
1452093100,2016-01-06 07:11:40,208.01,M,M,M, ;
1452093496,2016-01-06 07:18:16,210.01d,M,M,MMMM, ;
1452093496,2016-01-06 07:18:16,210.01D,M,M,MMMM, ;
1452093524,2016-01-06 07:18:44,202.02,F,M,MMFFM, ;
1452093553,2016-01-06 07:19:13,208.02,M,M,, ;
1452093621,2016-01-06 07:20:21,209.01,M,M,F, ;
1452093629,2016-01-06 07:20:29,209.02,M,F,MM, ;
1452094094,2016-01-06 07:28:14,213.01,F,M,M, ;
1452094201,2016-01-06 07:30:01,205.02D,F,M,MMF, ;
1452094376,2016-01-06 07:32:56,209.03,M,F,FM, ;
1452094607,2016-01-06 07:36:47,208.03,M,F,MMMFM, ;
1452094653,2016-01-06 07:37:33,202.04,F,M,MF, ;
1452094701,2016-01-06 07:38:21,210.02d,M,M,FMM, ;
1452094705,2016-01-06 07:38:25,210.02,M,M,FMM, ;
1452094890,2016-01-06 07:41:30,205.03,F,M,MFM,so far one senior female asking all F questions ;
1452095273,2016-01-06 07:47:53,208.05,M,M,MMM, ;
1452095357,2016-01-06 07:49:17,202.05,F,M,FMMFM, ;
1452095773,2016-01-06 07:56:13,210.3d,M,M,MMM, ;
1452095924,2016-01-06 07:58:44,205.04,F,M,FM, ;
1452096040,2016-01-06 08:00:40,213.02,F,M,,No questions.  ;
1452096486,2016-01-06 08:08:06,208.06,M,M,MMMM, ;
1452097240,2016-01-06 08:20:40,208.07,M,M,MMM, ;
1452097277,2016-01-06 08:21:17,210.04d,M,M,MMM, ;
1452097350,2016-01-06 08:22:30,Alexia Lewis,M,F,MMMMMM, ;
1452097558,2016-01-06 08:25:58,205.05D,F,M,FMMM, ;
1452097714,2016-01-06 08:28:34,205.06,F,F,FFM, ;
1452097811,2016-01-06 08:30:11,210.05,M,M,MMF, ;
1452097867,2016-01-06 08:31:07,213.03,F,F,M, ;
1452101626,2016-01-06 09:33:46,215.01,M,M,MMFM, ;
1452104798,2016-01-06 10:26:38,216,,,MMMMM, ;
1452107377,2016-01-06 11:09:37,217.01,F,F,F, ;
1452108065,2016-01-06 11:21:05,228.02,M,M,MFMM, ;
1452108328,2016-01-06 11:25:28,213.01,F,M,M, ;
1452108354,2016-01-06 11:25:54,213.02,F,M,,No questions ;
1452108366,2016-01-06 11:26:06,213.03,F,F,M, ;
1452108373,2016-01-06 11:26:13,227.03,M,F,MFMM, ;
1452108406,2016-01-06 11:26:46,223.01,M,F,MMM, ;
1452108420,2016-01-06 11:27:00,223.02,M,F,MM, ;
1452108528,2016-01-06 11:28:48,217.02,F,M,MF, ;
1452108961,2016-01-06 11:36:01,223.03,M,M,MMMM, ;
1452109580,2016-01-06 11:46:20,223.04,M,M,M, ;
1452109597,2016-01-06 11:46:37,220.01,M,M,M, ;
1452109698,2016-01-06 11:48:18,217.03D,F,M,FMM, ;
1452109707,2016-01-06 11:48:27,217.02D,F,M,MF, ;
1452109785,2016-01-06 11:49:45,228.04,M,M,MM, ;
1452109818,2016-01-06 11:50:18,220.03,M,F,MM,First questioner asked two questions. A really long back and forth conversation between speaker and questioner. Second questioner was more standard. ;
1452110085,2016-01-06 11:54:45,224.05,M,M,M, ;
1452110185,2016-01-06 11:56:25,217.04,F,F,M, ;
1452110230,2016-01-06 11:57:10,218.05,M,F,M, ;
1452110323,2016-01-06 11:58:43,220.04,M,M,MMM, ;
1452110442,2016-01-06 12:00:42,208.05,M,F,MMMM, ;
1452110617,2016-01-06 12:03:37,223.05,M,M,FM, ;
1452110992,2016-01-06 12:09:52,222.04,F,M,MMF, ;
1452111005,2016-01-06 12:10:05,208.06,M,M,, ;
1452111159,2016-01-06 12:12:39,223.06,M,M,FMMMMM, ;
1452111281,2016-01-06 12:14:41,217.05D,F,M,F, ;
1452111521,2016-01-06 12:18:41,220.05,M,F,MMM, ;
1452111848,2016-01-06 12:24:08,222.05,F,F,FM, ;
1452111878,2016-01-06 12:24:38,217.06,F,M,MF, ;
1452111959,2016-01-06 12:25:59,223.07,M,M,FMF, ;
1452112987,2016-01-06 12:43:07,222.06,F,M,FMMF, ;
1452115804,2016-01-06 13:30:04,230.01,,,,Two speakers - both male. No questions.  ;
1452118941,2016-01-06 14:22:21,220.06,M,M,M, ;
1452170466,2016-01-07 04:41:06,208.07,M,M,, ;
1452179432,2016-01-07 07:10:32,307.01,M,F,MMM, ;
1452179690,2016-01-07 07:14:50,301.01,F,M,MMM, ;
1452179943,2016-01-07 07:19:03,305.01,M,F,F, ;
1452179976,2016-01-07 07:19:36,306.01d,F,M,MF, ;
1452180135,2016-01-07 07:22:15,305.03,M,M,F,Chair also asked question.  ;
1452180597,2016-01-07 07:29:57,301.02D,F,F,M, ;
1452180621,2016-01-07 07:30:21,307.02,M,M,MMF, ;
1452180629,2016-01-07 07:30:29,312.03,M,M,MM, ;
1452180637,2016-01-07 07:30:37,306.02,F,M,MMF, ;
1452180692,2016-01-07 07:31:32,305.04,M,M,MF,chair also asked a question (in addition to the two I marked from audience) ;
1452181059,2016-01-07 07:37:39,312.04,M,M,MFMM, ;
1452181106,2016-01-07 07:38:26,307.03,M,M,M, ;
1452181193,2016-01-07 07:39:53,Savannah Jacklin,M,F,MFMM, ;
1452181194,2016-01-07 07:39:54,305.05,M,F,MF,Most of the questions in 305 so far asked by same woman in audience.  ;
1452181201,2016-01-07 07:40:01,301.03,F,M,MMM, ;
1452181251,2016-01-07 07:40:51,310.01,M,M,MMM, ;
1452181338,2016-01-07 07:42:18,310.02,M,M,MMM, ;
1452181434,2016-01-07 07:43:54,309.1,F,F,FM,Chair asked one question- the male asked two questions  ;
1452181554,2016-01-07 07:45:54,312.04,M,M,MF, ;
1452181557,2016-01-07 07:45:57,312.07,M,M,MF, ;
1452181713,2016-01-07 07:48:33,307.04,M,M,MMMM, ;
1452181862,2016-01-07 07:51:02,305.06,M,F,MMM, ;
1452181865,2016-01-07 07:51:05,301.04,F,M,MFF, ;
1452181921,2016-01-07 07:52:01,306.03,F,M,MFMMM, ;
1452181966,2016-01-07 07:52:46,312.10,M,F,M, ;
1452182075,2016-01-07 07:54:35,309.04,F,M,MMFM,Dissertation talk- chair asked Question ;
1452182146,2016-01-07 07:55:46,312.10,F,M,M, ;
1452182273,2016-01-07 07:57:53,301.05,F,M,F, ;
1452182403,2016-01-07 08:00:03,305.07,M,F,MM, ;
1452182463,2016-01-07 08:01:03,312.05,M,M,M, ;
1452182476,2016-01-07 08:01:16,306.04,F,M,MM, ;
1452182476,2016-01-07 08:01:16,312.05,M,M,M, ;
1452182582,2016-01-07 08:03:02,309.05,F,F,MMF, ;
1452182620,2016-01-07 08:03:40,310.03,M,F,M, ;
