session,category
104,1
108,1
109,1
111,1
118,1
119,1
124,1
126,1
202,1
204,1
207,1
209,1
217,1
219,1
225,1
301,1
303,1
308,1
316,1
318,1
323,1
326,1
401,1
403,1
405,1
408,1
409,1
410,1
416,1
422,1
424,1
425,1
221,2
223,2
307,2
327,2
407,2
419,2
426,2
102,3
103,3
107,3
120,3
123,3
203,3
208,3
218,3
302,3
411,3
416,3
423,3
106,4
112,4
122,4
125,4
128,4
206,4
211,4
212,4
220,4
224,4
305,4
306,4
321,4
322,4
406,4
420,4
105,5
110,5
121,5
129,5
205,5
210,5
227,5
228,5
304,5
309,5
317,5
319,5
402,5
404,5
418,5
113,6
222,6
310,6
311,6
312,6
320,6
324,6
421,6
427,6
114,7
130,7
127,7
213,7
214,7
226,7
229,7
313,7
325,7
328,7
412,7
413,7
115,7
131,7
132,7
201,7
215,7
230,2
231,3
200,3
101,4
300,6
314,6
329,2
330,3
400,4
414,6
428,1
429,7
116,7
216,7
117,7
133,7
232,7
233,7
251,7
315,7
331,7
332,7
415,7
