session_title,session_abbreviation,session_type,session_topic,session_date,session_time_start,session_time_end,session_location,session_details,session_chair,abstract_title,abstract_time_start,abstract_time_end,authors,abstract_status,abstract_sort_order
2016 AAS Astronomy Ambassador Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:00 PM,St. George 104 (Gaylord Palms Resort and Convention Center),,"Organizer: Richard Fienberg, rick.fienberg@aas.org, American Astronomical Society;Organizer: Suzanne Gurton, sgurton@astrosociety.org, Astronomical Society of the Pacific",,,,,,
Introduction to Software Carpentry 2 Day Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,St. George 106 (Gaylord Palms Resort and Convention Center),,,,,,,,
Teaching Introductory Astronomy Using Quantitative Reasoning Activities & Research Projects,,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,Emerald 2 (Gaylord Palms Resort and Convention Center),,"Organizer: Timothy Slater, timslaterwyo@gmail.com, University of Wyoming",,,,,,
The CAE’s Tier I Teaching Excellence Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,St. George 112 (Gaylord Palms Resort and Convention Center),,"Organizer: Gina Brissenden, gbrissenden@as.arizona.edu, Center for Astronomy Education (CAE), Steward Observatory, Univ. of Arizona",,,,,,
Exoplanet Exploration Program Analysis Group (ExoPAG) (day 1 of 2),,Splinter Meeting,,03-Jan-2016,1:00 PM,5:00 PM,Orange Blossom Ballroom (Gaylord Palms Resort and Convention Center),,,,,,,,
2016 NSF Postdoctoral Fellows Symposium (day 1 of 2),,Workshop,,03-Jan-2016,1:00 PM,6:00 PM,Sun C (Gaylord Palms Resort and Convention Center),,"Organizer: Devin Silvia, dsilvia@msu.edu, Michigan State University",,,,,,
COPAG SIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Miami (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
CosmicSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Naples (Gaylord Palms Resort and Convention Center),,"Organizer: Ann Hornschemeier, Ann.Hornschemeier@nasa.gov, NASA GSFC",,,,,,
GWSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
GammaSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Tallahassee 3 (Gaylord Palms Resort and Convention Center),,"Organizer: Ann Hornschemeier, Ann.Hornschemeier@nasa.gov, NASA GSFC",,,,,,
XRSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Sarasota (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
AAS Council Meeting,,Splinter Meeting,,04-Jan-2016,8:00 AM,5:00 PM,Tallahassee 1 (Gaylord Palms Resort and Convention Center),,"Organizer: C. Urry, meg.urry@yale.edu, Yale University",,,,,,
Introduction to Software Carpentry 2 Day Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:00 AM,5:30 PM,St. George 106 (Gaylord Palms Resort and Convention Center),,,,,,,,
