epoch,datetime,talk,chair,speaker,questions,x,comments
1465834192,2016-06-13 09:09:52,Enceladus plenary,M,M,FQMQMQMQMQMQ,,Fifth Q was from chair ;
1465839346,2016-06-13 10:35:46,102.03,M,M,MQFQ,,volunteer with microphone did not use it for Q&A. second questioner had a followup question too. ;
1465840451,2016-06-13 10:54:11,102.04,M,M,FQMQ,, ;
1465840892,2016-06-13 11:01:32,102.05,M,F,MQMQFC,, ;
1465840983,2016-06-13 11:03:03,102.02,M,M,MQMQ,, ;
1465841005,2016-06-13 11:03:25,102.01,M,F,MQ,, ;
1465841301,2016-06-13 11:08:21,102.06,M,M,FCMQ,, ;
1465841938,2016-06-13 11:18:58,102.07,M,M,,no questions immediately asked - short on time ;
1465842472,2016-06-13 11:27:52,102.08,M,M,MQ,,I think there was just one question? ;
1465843363,2016-06-13 11:42:43,102.09,M,M,FQ,, ;
1465846572,2016-06-13 12:36:12,SERVIR plenary,F,M,MQMQMQMQFQ,,speaker gave long-winded answers. last session before lunch. ;
1465852397,2016-06-13 14:13:17,112.01,F,M,MQ,, ;
1465853398,2016-06-13 14:29:58,112.02,F,F,FCMQFC,,talk about accessibility ;
1465853609,2016-06-13 14:33:29,112.03,F,F,MCFQFC,,another talk about accessibility ;
1465854043,2016-06-13 14:40:43,112.04,F,F,FQFQ,,topic was education and outreach ;
1465854484,2016-06-13 14:48:04,112.05,F,M,MQ,, ;
1465855026,2016-06-13 14:57:06,112.06,F,M,FQMQ,,I may have missed one or more questions ;
1465855376,2016-06-13 15:02:56,Reinout van Weeren,M,M,MQMQ,,Second question was by session chair ;
1465855428,2016-06-13 15:03:48,110.04,M,F,MQMQMQ,,Speaker: Christine Jones ;
1465924646,2016-06-14 10:17:26,201.01,M,F,MQFQMQMQMQFQMQ,, ;
1465925205,2016-06-14 10:26:45,205.1,F,M,MQMQ,, ;
1465925967,2016-06-14 10:39:27,201.03,M,M,MQMQ,, ;
1465926008,2016-06-14 10:40:08,201.04,M,M,MQ,, ;
1465926272,2016-06-14 10:44:32,205.2,F,M,MQMQMQMQ,, ;
1465927771,2016-06-14 11:09:31,201.05,M,M,MQFQMQMQ,,Third Q was from chair ;
1465927823,2016-06-14 11:10:23,201.07,M,M,MQMQ,, ;
1465933075,2016-06-14 12:37:55,206.1,M,M,FQMQFQFQ,, ;
1465939289,2016-06-14 14:21:29,208.01D,F,M,MCFQ,,may have been another question I spaced out ;
1465940630,2016-06-14 14:43:50,208.04,F,M,FQ,,question was from the chair ;
1465941751,2016-06-14 15:02:31,208.05D,F,F,MQ,, ;
1465943338,2016-06-14 15:28:58,208.07,F,F,MQ,, ;
1465950036,2016-06-14 17:20:36,MAVEN plenary,M,F,MQMQMQMQ,,I missed at least one between 2nd and 3rd recorded Q. ;
1466007724,2016-06-15 09:22:04,Knutson exoplanet plenary,F,F,MQMQMQFQ,,3rd questioner asked a followup too ;
1466019392,2016-06-15 12:36:32,305.1,F,F,FQMQMQMQFQMQMQFQFQ,, ;
1466019432,2016-06-15 12:37:12,LIGO plenary,F,F,FQMQMQFQMQMQFQFQ,, ;
1466092234,2016-06-16 08:50:34,401.01,F,M,MQFQMQFC,, ;
1466092846,2016-06-16 09:00:46,401.03,F,M,FQFQ,, ;
1466092926,2016-06-16 09:02:06,401.03,F,M,FQMQ,,everyone was still asleep so the chair asked a question first ;
1466093474,2016-06-16 09:11:14,401.04,F,M,MQMQMQ,, ;
1466094080,2016-06-16 09:21:20,401.05,F,M,MQFQFQ,,last two questions were both from the chair ;
1466094724,2016-06-16 09:32:04,401.06,F,M,MQFQMQ,, ;
1466095366,2016-06-16 09:42:46,401.07,F,F,MQMCFQ,,2nd comment was a previous speaker being invited to answer the 1st question ;
1466097259,2016-06-16 10:14:19,401.08,F,F,FQMQ,, ;
1466098876,2016-06-16 10:41:16,404.02,F,M,FQ,,speaker ran over - chair asked a quick question ;
1466099430,2016-06-16 10:50:30,404.03,F,F,MQMQMQ,, ;
1466100183,2016-06-16 11:03:03,404.04,F,M,FQMQFQ,,there were more questions but not enough time ;
1466100753,2016-06-16 11:12:33,404.05,F,M,,talk was supposed to be given by a woman but a man (the next speaker incidentally) gave it instead because she was unwell. then I spaced out during the Q&A - but there were a few. ;
1466101266,2016-06-16 11:21:06,404.06,F,M,MQMQ,,may have missed one ;
1466101841,2016-06-16 11:30:41,404.07,F,M,FQMQ,,chair asked the first question and a quick followup one too. potential third question-asker said she had the same question that was just asked when the mic was brought to her. ;
1466102434,2016-06-16 11:40:34,404.08,F,M,FQFQ,,both questions were from the chair ;
1466103196,2016-06-16 11:53:16,404.09,F,M,FQMQMQ,,this talk was an undergrad essentially reviewing the fermi paradox and explaining the drake equation... questioners were kind and engaging A+ ;
