epoch,datetime,talk,speaker,questions
1402299220,2014-06-09 00:33:40,THIS IS A TEST,M,MMFFM
1402328576,2014-06-09 08:42:56,AAS223,F,M
1402328585,2014-06-09 08:43:05,AAS223B,F,M
1402328592,2014-06-09 08:43:12,AAS223C,M,M
1402331596,2014-06-09 09:33:16,Laurent Gizon,M,
1402333864,2014-06-09 10:11:04,kraus,M,MM
1402333878,2014-06-09 10:11:18,Monday 9:30; Krauss,M,MM
1402333879,2014-06-09 10:11:19,Kraus,M,MM
1402333885,2014-06-09 10:11:25,Kraus,M,MM
1402335178,2014-06-09 10:32:58,Pascucci,F,FM
1402335185,2014-06-09 10:33:05,Monday 10:05; Pascucci,F,FM
1402335187,2014-06-09 10:33:07,Ilaria Pascucci ,F,FM
1402335192,2014-06-09 10:33:12,Gozin,M,
1402340158,2014-06-09 11:55:58,Huber,M,MMMM
1402340175,2014-06-09 11:56:15,Daniel Huber,M,MMMM
1402340248,2014-06-09 11:57:28,d huber,M,MMMM
1402340263,2014-06-09 11:57:43,Daniel Huber,M,MMMM
1402341528,2014-06-09 12:18:48,Trent Dupuy,M,FMMM
1402341563,2014-06-09 12:19:23,t dupuy,M,FMMM
1402341566,2014-06-09 12:19:26,Trent Dupuy,M,FMMM
1402342731,2014-06-09 12:38:51,Ruth Angus,F,FMFM
1402342735,2014-06-09 12:38:55,r angus,F,FMFM
1402342795,2014-06-09 12:39:55,Ruth Angus,F,FMFM
1402349169,2014-06-09 14:26:09,Kaspar von Braun,M,MFMMM
1402349284,2014-06-09 14:28:04,Andrew Cameron,M,MF
1402349375,2014-06-09 14:29:35,J Radigan (cool clouds),F,MM
1402349397,2014-06-09 14:29:57,a rajan (cool clouds),M,F
1402349532,2014-06-09 14:32:12,Rajah ,M,MF
1402350142,2014-06-09 14:42:22,Jackie Viladsen,F,FM
1402350322,2014-06-09 14:45:22,Ed Gillen,M,MF
1402350339,2014-06-09 14:45:39,s metchev (cool clouds),M,MFM
1402350346,2014-06-09 14:45:46,Metchev,M,MFM
1402351291,2014-06-09 15:01:31,Showman,M,MFM
1402351293,2014-06-09 15:01:33,a showman (cool clouds),M,MFM
1402351521,2014-06-09 15:05:21,Travis Metcalfe,M,MMM
1402351988,2014-06-09 15:13:08,xi zhang (cool clouds),M,MM
1402352321,2014-06-09 15:18:41,Lisabeth Newton,F,MMM
1402352551,2014-06-09 15:22:31,b biller,F,M
1402352680,2014-06-09 15:24:40,Biller,F,M
1402353099,2014-06-09 15:31:39,Joe Fillipazzo,M,M
1402353286,2014-06-09 15:34:46,e buenzli (cool clouds),F,MMF
1402357050,2014-06-09 16:37:30,Jonathan Swift,M,M
1402357428,2014-06-09 16:43:48,Marley,M,MMMFM
1402357448,2014-06-09 16:44:08,M Marley (cool clouds),M,MMFFM
1402357977,2014-06-09 16:52:57,Jason Curtis,M,M
1402358098,2014-06-09 16:54:58,K Hiranaka (cool clouds),F,FMF
1402358127,2014-06-09 16:55:27,Hiranaka,F,FMF
1402358841,2014-06-09 17:07:21,Best,M,MM
1402359516,2014-06-09 17:18:36,C Morley (cool clouds),M,MMM
1402360564,2014-06-09 17:36:04,D Sing ( cool clouds ),M,MM
1402360917,2014-06-09 17:41:57,Niall Deacon,M,FM
1402417534,2014-06-10 09:25:34,Jeff Hall,M,MMMF
1402417544,2014-06-10 09:25:44,j hall,M,MMMF
1402419956,2014-06-10 10:05:56,b de pontieu,M,MMMMM
1402419956,2014-06-10 10:05:56,Bart de Pontieu,M,MM
1402421244,2014-06-10 10:27:24,de Pontieu,M,MM
1402421372,2014-06-10 10:29:32,d apai,M,FM
1402421426,2014-06-10 10:30:26,apai,M,FM
1402426390,2014-06-10 11:53:10,Jardine,F,MMM
1402426470,2014-06-10 11:54:30,Moira Jardine,F,MMM
1402426494,2014-06-10 11:54:54,m jardine,F,MMM
1402427796,2014-06-10 12:16:36,k augustson,M,F
1402427800,2014-06-10 12:16:40,Kyle Augustson,M,F
