Talk,Last name only,Speaker Gender,Questions,Session Type,Splinter,Speaker Type,Nsubmitted,Notes
 g sacco (for s randich),sacco (for randich),M,MMMMMF,Plenary,Friday Plenary,Invited,2,1 submitted MMMMF
a kowalski (solar stellar ),kowalski,M,FMMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
a rajan (cool clouds),Rajan,M,F,Splinter,Cool Cloudy Atmospheres,,2,Another was submitted as “Rajah” with MF
a shapiro (solar stellar),shapiro,M,MMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
a showman (cool clouds),Showman,M,MFM,Splinter,Cool Cloudy Atmospheres,Review,2,
a vidotto (solar stellar),vidotto,F,MM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
A. Dupree,dupree,F,MM,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
Andrew Cameron,Andrew Cameron,M,MF,Splinter,Cool Stars and Space Weather,Invited,1,
Ann Marie Cody,cody,F,MFM,Splinter,Accretion Process in Young Stars,Contributed,1,type based on length
apai,Apai,M,FM,Plenary,Tuesday Plenary,Contributed,2,
Bart de Pontieu,Pontieu,M,MM,Plenary,Tuesday Plenary,Invited,3,1 submitted MMMMM
bastien,bastien,F,MMMFMFF,Plenary,Friday Plenary,Invited,3,
Best,Best,M,MM,Splinter,Cool Cloudy Atmospheres,Contributed,1,
Biller,Biller,F,M,Splinter,Cool Cloudy Atmospheres,Contributed,2,
Boyajian,Boyajian,F,MMFMMMMFM,Plenary,Friday Plenary,Contributed,3,"1 submitted MMFMM, 1 submitted MMFM"
Browning,Browning,M,MM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Invited,2,1 submitted M
c garraffo (solar stellar),garraffo,F,MMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
C Morley (cool clouds),Morley,M,MMM,Splinter,Cool Cloudy Atmospheres,Invited,1,
Carlo Felice Manara,manara,M,FMF,Splinter,Accretion Process in Young Stars,Contributed,1,type based on length
D Sing ( cool clouds ),Sing,M,MM,Splinter,Cool Cloudy Atmospheres,Invited,1,
davenport,davenport,M,FMMM,Plenary,Thursday Plenary,Contributed,3,
denker,denker,M,MF,Plenary,Friday Plenary,Invited,4,
e buenzli (cool clouds),Buenzli,F,MMF,Splinter,Cool Cloudy Atmospheres,Contributed,1,
e shkolnik (solar stellar),shkolnik,F,MMMMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
Ed Gillen,Gillen,M,MF,Splinter,Touchstone Stars,Contributed,1,type based on length
Elisabeth Newton,Newton,F,MMM,Splinter,Touchstone Stars,Contributed,1,type based on length
Elisabetta Rigliaco,rigliaco,F,FFMF,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
f Adams,Adams,M,MM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,2,1 submitted no Qs
f spada (solar stellar),spada,M,MMM,Splinter,Upgrading the Solar-Stellar Connection,Upgrading the Solar-Stellar Connection,1,
Gaitee Hussain,hussain,F,M,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
Germano Sacco,Sacco,M,MMMF,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
Greissmeir,Greissmeir,M,MMMF,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Invited,2,
Guillem Anglada-Escude ,Anglada-Escude ,M,,Plenary,Thursday Plenary,Invited,2,
h cegla (solar stellar),cegla,F,MMMMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
Huber,Huber,M,MMMM,Plenary,Monday Plenary,Invited,4,
j faherty,faherty,F,MM,Plenary,Friday Plenary,Contributed,3,
J Radigan (cool clouds),Radigan,F,MM,Splinter,Cool Cloudy Atmospheres,Review,1,
J. Sebastian Pineda,Pineda,M,MFM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,3,
Jackie Viladsen,Villadsen,F,FM,Splinter,Cool Stars and Space Weather,Contributed,1,
Jardine,Jardine,F,MMM,Plenary,Tuesday Plenary,Invited,3,
Jason Curtis,Curtis,M,M,Splinter,Touchstone Stars,Invited,1,type based on length
Jeff Hall,Hall,M,MMMF,Plenary,Tuesday Plenary,Invited,2,
Joe Fillipazzo,Fillippazzo,M,M,Splinter,Touchstone Stars,Contributed,1,type based on length
Jonathan Swift,Swift,M,M,Splinter,Touchstone Stars,Invited,1,type based on length
K Hiranaka (cool clouds),Kiranaka,F,FMF,Splinter,Cool Cloudy Atmospheres,Contributed,2,
Kaitlin Kratter,Kratter,F,MMFMM,Plenary,Thursday Plenary,Invited,2,
kao,kao,F,MMM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,2,1 submitted MM
Kaspar von Braun,Kaspar von Braun,M,MFMMM,Splinter,Touchstone Stars,Invited,1,type based on length
Kraus,Kraus,M,MM,Plenary,Monday Plenary,Invited,4,
Kuzmychov,Kuzmychov,M,MMMF,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,2,1 submitted MMF
Kyle Augustson,Augustson,M,F,Plenary,Tuesday Plenary,Contributed,2,
lanza,lanza,M,FMFM,Plenary,Thursday Plenary,Invited,2,One submitted as FM
Laurent Gizon,Gizon,M,,Plenary,Monday Plenary,Invited,2,
m andsdell,andsdell,F,MMMMFM,Plenary,Thursday Plenary,Contributed,1,
M Marley (cool clouds),Marley,M,MMFFM,Splinter,Cool Cloudy Atmospheres,Review,2,1 submitted MMMFM
Marina Romanova,romanova,F,M,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
Michael Line,Line,M,FMM,Plenary,Wednesday Plenary,Contributed,3,
n hinkel,hinkel,F,MMMM,Plenary,Wednesday Plenary,Contributed,2,
Nancy Brickhouse,brickhouse,F,MMMM,Splinter,Accretion Process in Young Stars,Invited,1,type based on length
Niall Deacon,Deacon,M,FM,Splinter,Touchstone Stars,Contributed,1,type based on length
p testa (solar stellar),testa,F,MMMMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
Pascucci,Pascucci,F,FM,Plenary,Monday Plenary,Contributed,3,
pgk Williams,Williams,M,MM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,1,
Ruth Angus,Ruth Angus,F,FMFM,Plenary,Monday Plenary,Contributed,3,
s borgniet (solar stellar),borgniet,M,MMM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
s brun (solar stellar),brun,M,MM,Splinter,Upgrading the Solar-Stellar Connection,Contributed,1,
s metchev (cool clouds),Metchev,M,MFM,Splinter,Cool Cloudy Atmospheres,Invited,2,
schmidt,schmidt,F,MMM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,3,
See,See,M,MM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Contributed,2,
Strugarek,Strugarek,M,MM,Plenary,Thursday Plenary,Contributed,2,
Subu Mohanty,Mohanty,M,MM,Splinter,"Magnetic Fields, Dynamos, and Aurorae",Invited,3,
Travis Metcalfe,Travis Metcalfe,M,MMM,Splinter,Touchstone Stars,Contributed,1,type based on length
Trent Dupuy,Trent Dupuy,M,FMMM,Plenary,Monday Plenary,Contributed,3,
v joergens,joergens,F,FM,Plenary,Friday Plenary,Contributed,3,
West,West,M,MFM,Plenary,Wednesday Plenary,Contributed,2,
xi zhang (cool clouds),Zhang,M,MM,Splinter,Cool Cloudy Atmospheres,Contributed,1,
