Epoch,Time,Talk,Chair Gender,Speaker Gender,Questions,Splinter,Session Type,Speaker Type,Comments,Comments 2,Comments 3
1465217624,6/6/2016 5:53:44,Sofie Liljegren,F,F,MFFMM,AGB,Splinter,contributed,;,,
1465219944,6/6/2016 6:32:24,Sara Bladh,F,F,FM,AGB,Splinter,contributed,;,,
1465244742,6/6/2016 13:25:42,Paladini,F,F,M,AGB,Splinter,invited,;,,
1465217434,6/6/2016 5:50:34,Gagne,F,M,MMMM,Brown Dwarf,Splinter,contributed,;,,
1465224284,6/6/2016 7:44:44,Pascal Tremblin,F,M,MMMM,Brown Dwarf,Splinter,contributed,;,,
1465225246,6/6/2016 8:00:46,Ben Burningham,F,M,FMFMMM,Brown Dwarf,Splinter,contributed,;,,
1465226163,6/6/2016 8:16:03,Jenny Patience (Splinter),F,F,MMM,Brown Dwarf,Splinter,contributed,;,,
1465227218,6/6/2016 8:33:38,Chas Beichman,F,M,FF,Brown Dwarf,Splinter,contributed,"; didn't record chair or speaker gender, speaker gender selected based on first name of ""Charles""",,
1465544110,6/10/2016 0:35:10,Amanda Karakas,M,F,MFFFM,Fri Plenary,Plenary,invited,;,,
1465545357,6/10/2016 0:55:57,Noriyuki Matsunaga,M,M,MMFM,Fri Plenary,Plenary,contributed,;,,
1465546569,6/10/2016 1:16:09,Ka Tat Wong,M,M,MFM,Fri Plenary,Plenary,contributed,;,,
1465547127,6/10/2016 1:25:27,Jamie Tayar,M,F,M,Fri Plenary,Plenary,contributed,;,,
1465547760,6/10/2016 1:36:00,Meredith L. Rawls,M,F,MM,Fri Plenary,Plenary,contributed,;,,
1465550888,6/10/2016 2:28:08,So?fia Feltzing,M,F,MMM,Fri Plenary,Plenary,invited,;,,
1465552368,6/10/2016 2:52:48,Louise Howes,M,F,MMMFM,Fri Plenary,Plenary,contributed,;,,
1465553602,6/10/2016 3:13:22,Jenny Patience (Plenary),M,F,MMM,Fri Plenary,Plenary,contributed,;,,
1465554956,6/10/2016 3:35:56,Andrea Dieball,M,F,MMMM,Fri Plenary,Plenary,contributed,;,,
,,Chabrier,M,M,MMFFFF,Mon Plenary,Plenary,invited,;,,
1465199642,6/6/2016 0:54:02,Ben Montet,M,M,MMM,Mon Plenary,Plenary,contributed,;,,
1465200919,6/6/2016 1:15:19,Baraffe,M,F,MM,Mon Plenary,Plenary,contributed,First was comment not question ;,,
1465202136,6/6/2016 1:35:36,France,M,M,MMMF,Mon Plenary,Plenary,contributed,;,,
1465205121,6/6/2016 2:25:21,Egeland,M,M,MFM,Mon Plenary,Plenary,contributed,Comment from first person ;,,
1465206192,6/6/2016 2:43:12,Nadège Meunier,M,F,MF,Mon Plenary,Plenary,contributed,;,,
1465208222,6/6/2016 3:17:02,Jacqueline Faherty,M,F,MFMM,Mon Plenary,Plenary,invited,;,,
1465209384,6/6/2016 3:36:24,Trent Dupuy (Plenary),M,M,FF,Mon Plenary,Plenary,contributed,;,,
1465217638,6/6/2016 5:53:58,De Bruijne,M,M,MMMMM,Open Cluster,Splinter,invited,;,,
1465218451,6/6/2016 6:07:31,Roelens,M,F,MM,Open Cluster,Splinter,contributed,;,,
1465219436,6/6/2016 6:23:56,Cody,M,F,MFMFF,Open Cluster,Splinter,contributed,Third question was admittedly a comment ;,,
1465223953,6/6/2016 7:39:13,Sean Matt,M,M,MF,Open Cluster,Splinter,invited,;,,
1465223974,6/6/2016 7:39:34,Douglas,M,F,MMF,Open Cluster,Splinter,contributed,3rd was a comment,related to 1st ;,
1465224829,6/6/2016 7:53:49,Rebull,M,F,MF,Open Cluster,Splinter,contributed,;,,
1465284391,6/7/2016 0:26:31,Spina,M,M,MM,Open Cluster,Splinter,contributed,;,,
1465304016,6/7/2016 5:53:36,Cameron Bell,F,M,MMM,Open Cluster,Splinter,invited,;,,
1465304915,6/7/2016 6:08:35,Adam Kraus,F,M,M,Open Cluster,Splinter,contributed,;,,
1465305705,6/7/2016 6:21:45,Somers,F,M,MMFF,Open Cluster,Splinter,contributed,;,,
1465306364,6/7/2016 6:32:44,Jieun Choi,F,F,MM,Open Cluster,Splinter,contributed,;,,
1465309565,6/7/2016 7:26:05,Richard Parker (Tuesday),F,M,MMMM,Open Cluster,Splinter,invited,;,,
1465310240,6/7/2016 7:37:20,Nicola Da Rio,F,M,M,Open Cluster,Splinter,contributed,;,,
1465311072,6/7/2016 7:51:12,Jeffries,F,M,MMF,Open Cluster,Splinter,contributed,3rd is self-admitted comment ;,,
