Epoch,Time,Talk,Chair Gender,Speaker Gender,Questions,Splinter,Session type,speaker type,Comments
1533139207,8/1/18 9:00,Agueros,M,M,MMFMM,Wed Plenary,Plenary,contributed,Talk starts 11:44 Talk ends 11:53 Q/A ends 11:59;
1533223222,8/2/18 8:20,Alvarado-Gomez,M,M,MMM,Thu Plenary,Plenary,contributed,First question from chair;
1532974672,7/30/18 11:17,Amazo-Gomez,M,F,FFM,3,splinter,contibuted,This session seems to require people who are asking question to go to the microphones. No runners.;
1533245578,8/2/18 14:32,Angus,M,F,MMF,7,splinter,contibuted,Chair locked in the qs from the start;
1533216016,8/2/18 6:20,Arigiroffi,M,F,FFMF,Thu Plenary,Plenary,contributed,;
1533244816,8/2/18 14:20,Armstrong,M,M,MF,9,splinter,contibuted,;
1533055425,7/31/18 9:43,Brandenburg,M,M,MFMMMMM,Tue Plenary,Plenary,contributed, Talk starts 12:28 Talk ends 12:37 Q/A ends 12:44. Talked over female question and didn‰Ûªt answer.;
1533234178,8/2/18 11:22,Basri,M,M,MFM,7,splinter,contibuted,;
1533071230,7/31/18 14:07,Bastien,F,F,FFMF,5,splinter,contibuted,Talk starts 16:52 Talk ends 17:04 Q/A ends 17:06. chair asked first question;
1532978027,7/30/18 12:13,Beck,M,M,FM,3,splinter,contibuted,;
1532958168,7/30/18 6:42,Bedell,F,F,FMMMFM,Mon Plenary,Plenary,contributed,Loudish bickering from FirstName LastName.There was a question from a woman at the front that had her hand up the whole time and was never selected. ;
1533062112,7/31/18 11:35,Berdyugina,M,F,FMFM,5,splinter,contibuted, Talk starts 14:05 Talk ends 14:28 Q/A ends 14:35. Chair encouraged questions. Speaker encouraged questions from students and post docs.;
1532978903,7/30/18 12:28,Best,M,M,FFMFM,2,splinter,contibuted,Talk starts 15:12 Talk ends 15:24 Q/A ends 15:28. Both male and Female chairs.;
1533044403,7/31/18 6:40,Bice  ,M,M,MFM,Tue Plenary,Plenary,contributed, Final question was more of a comment but came with a small question. Speaker is a graduate student. Talk starts 09:24 Talk ends 09:35 Q/A ends 09:40;
1533305088,8/3/18 7:04,Birkby,M,F,MFM,Fri Plenary,Plenary,contributed,Talk starts 09:50 Talk ends 10:01 Q/A ends 10:04;
1532983528,7/30/18 13:45,Bonavita,M,F,MMF,2,splinter,contibuted, Talk starts 16:31 Talk ends  16:42 Q/A ends 16:45. Second person asked two questions. Both male and Female chairs.;
1533240997,8/2/18 13:16,Bravi,M,M,MMM,9,splinter,contibuted,The speaker said he was unable to answer a question so the chair offered an answer (from the same collaboration).;
1533042378,7/31/18 6:06,Browning,M,M,MMM,Tue Plenary,Plenary,invited, Talk starts 08:32 Talk ends 08:58 Q/A ends 09:06 - chair ended Q/A to keep on schedule;
1533301397,8/3/18 6:03,Burgasser,M,M,MFM,Fri Plenary,Plenary,invited,Talk starts 08:32 Talk ends 08:59 Q/A ends 09:03. Third question was from the session chair;
1533051124,7/31/18 8:32,Cauzzi,M,F,MMFFMMF,Tue Plenary,Plenary,invited, Most comments were commenting on other comments. Chair did not enforce the qs no comments rule at all. Talk starts 10:58 Talk ends 11:24 Q/A ends Male commenter kept interrupting speaker somewhat as she was explaining. ;
1533070817,7/31/18 14:00,Cohen,M,M,M,4,splinter,contibuted,Questions were cut off due to time constraints;
1533241941,8/2/18 13:32,Covey,M,M,MF,9,splinter,contibuted,;
1533052205,7/31/18 8:50,Egeland,M,M,FMMM,Tue Plenary,Plenary,contributed,2nd more of a comment but did ask a question. Same for last question. Third question was from the session chair. Talk starts 11:33 Talk ends 11:45 Q/A ends 11:50  ;
1533217924,8/2/18 6:52,D'Angelo,M,F,MMMMM,Thu Plenary,Plenary,contributed,;
1532960233,7/30/18 7:17,Davenport,F,M,FMFF,Mon Plenary,Plenary,contributed,Astrogender commercial. Talk starts at 09:59 (scheduled 09:50) Talk ends at 10:12. Questions end 10:17. ;
1532986703,7/30/18 14:38,Gyro Splinter Discussion,M,,MMMMMMMMFMMMMMF,3,splinter,contibuted,Ran for 40 minutes. some repeated questioners. About 100 audience members ;
1533129562,8/1/18 6:19,Dotson,F,F,F,Wed Plenary,Plenary,contributed,Talk starts 09:05 Talk ends 09:16 Q/A ends 09:19. 2 questions from female chair.;
1532977087,7/30/18 11:58,Douglas,M,F,FMM,3,splinter,contibuted, ;
1533073162,7/31/18 14:39,Doyle,F,F,MMM,5,splinter,contibuted,Know Thy Starspot Splinter. Talk starts 17:29 Talk ends 17:37 Q/A ends 17:39. session conveners asked more questions in the second half of the splinter;
1533069064,7/31/18 13:31,Drabek-Maunder,F,F,MF,6,splinter,contibuted,;
1533244085,8/2/18 14:08,Dumusque,M,M,MFMM,7,splinter,contibuted,stellar brightness variations splinter;
1532979575,7/30/18 12:39,Gillen,M,M,M,1,splinter,contibuted,;
1532975414,7/30/18 11:30,Esselstein,M,F,MMM,3,splinter,contibuted,First questioner asked a follow up question. Do you have any comments on my comment? is not a question. Now have a runner for microphones. 3rd Q came after some rambling. The Comment was an advertisement for that person's talk and they were forced to turn it into a question ;
1533065388,7/31/18 12:29,Evensberget,M,M,FM,4,splinter,contibuted,;
1533131398,8/1/18 6:49,Ezzeddine,F,F,FMM,Wed Plenary,Plenary,contributed,Talk starts 09:36 Talk ends 09:45 Q/A ends 09:49. Multiple questions from single persons.;
1533225586,8/2/18 8:59,Forbrich,M,M,FMF,Thu Plenary,Plenary,contributed,;
1533234728,8/2/18 11:32,Foukal,M,M,,7,splinter,contibuted,No questions;
