,,,Chair,Speaker,YSP,,,,,,,,,,,,,,,,,,,,,,,,
1533139162,8/1/18 8:59,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139203,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139203,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139203,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139204,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139207,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,,Talk starts 11:44 Talk ends 11:53 Q/A ends 11:59 ;,,,,,,,,,,,,
1533139207,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139232,8/1/18 9:00,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533139271,8/1/18 9:01,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533140029,8/1/18 9:13,Agueros,M,M,12,,,,,,M:C,M:Q,F:Q,M:Q,M:Q,, ;,,,,,,,,,,,,
1533218820,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533218824,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533218825,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,,first question was asked by chair ;,,,,,,,,,,,,,,
1533218825,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,
1533218827,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533218841,8/2/18 7:07,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533221618,8/2/18 7:53,Alvarado-Gomez,,,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533222673,8/2/18 8:11,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533223222,8/2/18 8:20,Alvarado-Gomez,M,M,PD,,,,,,M:Q,M:Q,M:Q,,First question from chair ;,,,,,,,,,,,,,,
1532974672,7/30/18 11:17,Amazo-Gomez,,,0,,,,,,F:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1532974684,7/30/18 11:18,Amazo-Gomez,M,F,0,,,,,,F:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1532974691,7/30/18 11:18,Amazo-Gomez,M,F,0,,,,,,F:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1532974701,7/30/18 11:18,Amazo-Gomez,F,M,0,,,,,,F:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1532974707,7/30/18 11:18,Amazo-Gomez,M,F,0,,,,,,F:Q,F:Q,M:Q,,This session seems to require people who are asking question to go to the microphones. No runners. ;,,,,,,,,,,,,,,
1533245578,8/2/18 14:32,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,,Chair locked in the qs from the start ;,,,,,,,,,,,,,,
1533245627,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533245627,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533245634,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533245635,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533245636,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533245638,8/2/18 14:33,Angus,M,F,2,,,,,,M:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
1533216000,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216003,8/2/18 6:20,Argiroffi,,,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216006,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,F:Q,, ;,,,,,,,,,,,,,,
1533216007,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216007,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216013,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:C,, ;,,,,,,,,,,,,,
1533216013,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216016,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533216017,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,F:Q,, ;,,,,,,,,,,,,,,
1533216023,8/2/18 6:20,Argiroffi,M,F,12,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533243985,8/2/18 14:06,Armstrong,M,M,0,,,,,,M:Q,F:Q,, ;,,,,,,,,,,,,,,,
1533244046,8/2/18 14:07,Armstrong,M,M,0,,,,,,M:Q,F:Q,, ;,,,,,,,,,,,,,,,
1533244816,8/2/18 14:20,Armstrong,M,M,0,,,,,,M:Q,F:Q,, ;,,,,,,,,,,,,,,,
1533234163,8/2/18 11:22,Basri,M,M,39,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533234171,8/2/18 11:22,Basri,M,M,39,,,,,,??, F:Q, M:Q,,I think I missed a question ;,,,,,,,,,,,,,,
1533234172,8/2/18 11:22,Basri,M,M,39,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533234173,8/2/18 11:22,Basri,M,M,39,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533234175,8/2/18 11:22,Basri,M,M,39,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533234178,8/2/18 11:22,Basri,M,M,39,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533071229,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071229,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071230,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,,chair asked first question ;,,,,,,,,,,,,,
1533071232,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071235,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071235,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071236,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,
1533071237,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,F:Q,M:Q,F:Q,,Talk starts 16:52 Talk ends 17:04 Q/A ends 17:06 First question from female chair ;,,,,,,,,,,,,,
1533071240,7/31/18 14:07,Bastien,F,F,4,,,,,,??,F:Q,M:Q,F:Q,,Know Thy Starspot Splinter ;,,,,,,,,,,,,,
1533071243,7/31/18 14:07,Bastien,F,F,4,,,,,,F:Q,M:Q,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,
1532978027,7/30/18 12:13,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978029,7/30/18 12:13,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978034,7/30/18 12:13,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978038,7/30/18 12:13,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978043,7/30/18 12:14,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978045,7/30/18 12:14,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978052,7/30/18 12:14,Beck,M,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532978112,7/30/18 12:15,Beck,F,M,5,,,,,,F:C,M:C,, ;,,,,,,,,,,,,,,,
1532958168,7/30/18 6:42,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958171,7/30/18 6:42,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958172,7/30/18 6:42,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958176,7/30/18 6:42,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958176,7/30/18 6:42,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958182,7/30/18 6:43,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958189,7/30/18 6:43,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958231,7/30/18 6:43,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,,FirstName LastName, loudish bickering from FirstName LastName;,,,,,,,,,,
1532958241,7/30/18 6:44,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958263,7/30/18 6:44,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,
1532958264,7/30/18 6:44,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532958980,7/30/18 6:56,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,
1532960001,7/30/18 7:13,Bedell,F,F,1,,,,,,F:Q,M:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,
1533062112,7/31/18 11:35,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:C,, ;,,,,,,,,,,,,,
1533062123,7/31/18 11:35,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:Q,,Talk starts 14:05 Talk ends 14:28 Q/A ends 14:35 ;,,,,,,,,,,,,,
1533062131,7/31/18 11:35,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:Q,,There may have been a 5th Q? ;,,,,,,,,,,,,,
1533062135,7/31/18 11:35,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1533062150,7/31/18 11:35,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:Q,M:Q,,Chair encouraged questions. Speaker encouraged questions from students and post docs.  ;,,,,,,,,,,,,
1533062178,7/31/18 11:36,Berdyugina,M,F,,,,,,,F:Q,M:Q,F:Q,M:Q,,Know Thy Starspot Splinter ;,,,,,,,,,,,,,
1533062198,7/31/18 11:36,Berdyugina,,,,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532978903,7/30/18 12:28,Best,M,M,0,,,,,,F:Q,F:Q,M:Q,F:Q,M:Q,,Talk starts 15:12 Talk ends 15:24 Q/A ends 15:28 ;,,,,,,,,,,,,
1532981665,7/30/18 13:14,Best,M,M,0,,,,,,F:Q,F:Q,, ;,,,,,,,,,,,,,,,
1533044403,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044405,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,,Final question was more of a comment but came with a small question. ;,,,,,,,,,,,,,,
1533044411,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044413,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044413,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044414,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,,Speaker is a graduate student ;,,,,,,,,,,,,,,
1533044415,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,,Talk starts 09:24 Talk ends 09:35 Q/A ends 09:40 ;,,,,,,,,,,,,,,
1533044416,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044421,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044423,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044423,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533044424,7/31/18 6:40,Bice,M,M,0,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
