####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Aabha,     12.0000000
Aabriella,      5.0000000
Aaden,      5.0000000
Aadhira,      6.0000000
Aadhya,    218.0000000
Aadi,     10.0000000
Aadison,     11.0000000
Aaditri,     10.0000000
Aadya,    289.0000000
Aadyn,     16.0000000
Aafreen,      5.0000000
Aahana,    272.0000000
Aahliyah,     24.0000000
Aahna,     46.0000000
Aaila,      6.0000000
Aailiyah,     10.0000000
Aailyah,    157.0000000
Aaira,     35.0000000
Aairah,     14.0000000
Aaisha,    159.0000000
Aaishah,     18.0000000
Aaiyana,      5.0000000
Aaiza,      5.0000000
Aaja,      5.0000000
Aajah,     29.0000000
Aajaylah,     20.0000000
Aakanksha,      5.0000000
Aakilah,     18.0000000
Aakira,      5.0000000
Aakiyah,      5.0000000
Aakriti,     14.0000000
Aala,     48.0000000
Aalaiya,      7.0000000
Aalaiyah,     21.0000000
Aalana,     31.0000000
Aalanah,     10.0000000
Aalani,     20.0000000
Aalaya,     90.0000000
Aalayah,    478.0000000
Aalayiah,      7.0000000
Aalayjah,      6.0000000
Aalayna,     15.0000000
Aalaysha,     17.0000000
Aalaysia,     87.0000000
Aaleah,    181.0000000
Aaleahya,      8.0000000
Aaleeya,      5.0000000
Aaleeyah,     70.0000000
Aaleigha,    117.0000000
Aaleiyah,     18.0000000
Aalexis,     20.0000000
Aalexus,      6.0000000
Aaleya,     10.0000000
Aaleyah,    542.0000000
Aalia,    258.0000000
Aaliah,    706.0000000
Aaliayah,    118.0000000
Aaliayh,     47.0000000
Aalicia,      5.0000000
Aaliha,     12.0000000
Aalijah,     84.0000000
Aalina,     20.0000000
Aalisha,     22.0000000
Aalivia,     30.0000000
Aaliya,    845.0000000
Aaliyah,  59716.0000000
Aaliyaha,     21.0000000
Aaliyahmarie,     16.0000000
Aaliyahrose,      5.0000000
Aaliyan,     89.0000000
Aaliyana,     75.0000000
Aaliyha,    389.0000000
Aaliyiah,     31.0000000
Aalliyah,    156.0000000
Aallyah,      5.0000000
Aalya,     16.0000000
Aalyah,    553.0000000
Aalycia,     25.0000000
Aalyha,     19.0000000
Aalyia,      5.0000000
Aalyiah,    594.0000000
Aalysia,      6.0000000
Aalyssa,    104.0000000
Aalyvia,      5.0000000
Aamanda,     10.0000000
Aamani,    108.0000000
Aamari,     56.0000000
Aamaya,      5.0000000
Aamber,     14.0000000
Aamena,     10.0000000
Aamia,     11.0000000
Aamilah,     13.0000000
Aamina,    200.0000000
Aaminah,    218.0000000
Aamira,    153.0000000
