####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Aaban,     42.0000000
Aabid,      5.0000000
Aadam,    161.0000000
Aadan,     91.0000000
Aadarsh,    128.0000000
Aaden,   3474.0000000
Aadesh,     15.0000000
Aadhav,     53.0000000
Aadhavan,     11.0000000
Aadhyan,      5.0000000
Aadi,    543.0000000
Aadil,    273.0000000
Aadin,    106.0000000
Aadish,     17.0000000
Aadit,    203.0000000
Aadith,     23.0000000
Aaditya,    390.0000000
Aadiv,      6.0000000
Aadon,     82.0000000
Aadrian,      5.0000000
Aadrit,      5.0000000
Aadvik,      6.0000000
Aadyn,    327.0000000
Aagam,      8.0000000
Aahaan,      6.0000000
Aahan,    116.0000000
Aahil,    232.0000000
Aahron,      5.0000000
Aaidan,     38.0000000
Aaiden,    397.0000000
Aaidyn,     18.0000000
Aajon,      8.0000000
Aakarsh,     39.0000000
Aakash,    815.0000000
Aakeem,     16.0000000
Aalap,      6.0000000
Aalias,      5.0000000
Aalijah,    123.0000000
Aalim,     20.0000000
Aaliyah,     67.0000000
Aalok,     10.0000000
Aalon,      5.0000000
Aamar,      5.0000000
Aamari,     68.0000000
Aamarion,     10.0000000
Aamer,     25.0000000
Aamil,     11.0000000
Aamir,   1177.0000000
Aanand,      5.0000000
Aanav,      6.0000000
Aansh,      5.0000000
Aaqib,     22.0000000
Aaqil,     16.0000000
Aaran,    154.0000000
Aaraon,      5.0000000
Aarav,   2243.0000000
Aaren,    670.0000000
Aareon,     32.0000000
Aarian,     44.0000000
Aarib,     21.0000000
Aaric,    341.0000000
Aarick,     22.0000000
Aarik,    105.0000000
Aarin,    397.0000000
Aarion,    386.0000000
Aaris,     22.0000000
Aarish,     53.0000000
Aarit,     52.0000000
Aariv,     55.0000000
Aariz,    282.0000000
Aarjav,     15.0000000
Aarn,     17.0000000
Aarnav,    270.0000000
Aaro,     10.0000000
Aarohan,      5.0000000
Aaron, 503496.0000000
Aaronjacob,      5.0000000
Aaronjames,     95.0000000
Aaronjohn,     21.0000000
Aaronjoseph,      7.0000000
Aaronjosh,      5.0000000
Aaronjoshua,     10.0000000
Aaronlee,      5.0000000
Aaronmichael,     74.0000000
Aaronn,     22.0000000
Aaroosh,      6.0000000
Aarren,      5.0000000
Aarron,   1183.0000000
Aarsh,     28.0000000
Aarush,   1125.0000000
Aarya,    220.0000000
Aaryan,    758.0000000
Aaryav,     31.0000000
Aaryn,    535.0000000
Aaryon,      5.0000000
Aashay,     18.0000000
Aashir,     68.0000000
Aashish,    127.0000000
Aashrith,     70.0000000
Aasim,    164.0000000
Aasin,     52.0000000
Aasir,     19.0000000
Aason,     10.0000000
Aathan,      5.0000000
Aatif,     10.0000000
Aatish,     11.0000000
Aaven,     25.0000000
Aavi,      7.0000000
Aavin,      5.0000000
Aavion,     10.0000000
Aayaan,     19.0000000
Aayan,    650.0000000
Aaydan,      6.0000000
Aayden,    670.0000000
Aayush,    809.0000000
Aazan,      5.0000000
Aazim,     10.0000000
Ab,    274.0000000
Aba,      5.0000000
Abaan,     10.0000000
Abad,     77.0000000
Aban,     10.0000000
Abanoub,    109.0000000
Abas,     53.0000000
Abasi,     40.0000000
Abass,     55.0000000
Abayomi,    215.0000000
Abba,     12.0000000
Abbaas,      5.0000000
Abbas,    902.0000000
Abbey,     12.0000000
Abbigail,      5.0000000
Abbot,      6.0000000
Abbott,    287.0000000
Abby,    143.0000000
Abd,     17.0000000
Abdala,      6.0000000
Abdalah,      6.0000000
Abdalla,    232.0000000
Abdallah,    969.0000000
Abdalrahman,    113.0000000
Abdalrhman,      5.0000000
Abdel,    477.0000000
Abdelaziz,     81.0000000
Abdelhadi,      5.0000000
Abdelkareem,     10.0000000
Abdelkarim,     27.0000000
Abdellah,     17.0000000
Abdelrahman,    459.0000000
Abdelrhman,      6.0000000
Abderrahman,      5.0000000
Abdi,    210.0000000
Abdias,    431.0000000
Abdiasis,      6.0000000
Abdiaziz,     85.0000000
Abdiel,   2664.0000000
Abdifatah,    139.0000000
Abdihakim,     16.0000000
Abdihamid,      5.0000000
Abdikadir,     89.0000000
Abdikarim,     15.0000000
Abdikhaliq,      5.0000000
Abdilahi,     10.0000000
Abdimalik,    112.0000000
Abdinasir,    117.0000000
Abdiqani,      6.0000000
Abdirahim,     45.0000000
Abdirahman,   1038.0000000
Abdirashid,     22.0000000
